name	status	hash	task_id	native_id	exit	attempt	submit	start	complete	duration	realtime	queue	cpus	time	disk	memory	%cpu	%mem	rss	peak_rss	vmem	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt
STAR_Module_Merge_Bam_and_create_sense_antisense (5)	CACHED	aa/e9b2d3	145	875054	0	1	2025-04-23 18:27:20.434	2025-04-23 18:27:24.539	2025-04-23 18:46:54.959	19m 35s	19m 26s	short	1	1h 40m	-	10 GB	98.3%	0.2%	847.5 MB	847.5 MB	956.2 MB	1001.5 MB	14.6 GB	9 GB	1041739	665376	2 MB	9 GB	1051	12608
STAR_Module_Merge_Bam_and_create_sense_antisense (1)	CACHED	58/a7936e	152	875041	0	1	2025-04-23 18:27:19.775	2025-04-23 18:27:24.514	2025-04-23 18:48:19.998	21m	20m 51s	short	1	1h 40m	-	10 GB	97.7%	0.2%	847.5 MB	847.5 MB	956.3 MB	1001.5 MB	14.8 GB	9.1 GB	1049060	673375	2 MB	9.1 GB	1962	12630
STAR_Module_merge_transcriptome_bam (3)	CACHED	10/10d485	148	875051	0	1	2025-04-23 18:27:20.287	2025-04-23 18:27:24.527	2025-04-23 19:04:30.350	37m 10s	37m 1s	short	1	4h	-	32 GB	98.6%	0.2%	915.2 MB	915.2 MB	1007.8 MB	1012.3 MB	21.6 GB	16.1 GB	1526387	1157967	2 MB	16.1 GB	269	21491
STAR_Module_Merge_Bam_and_create_sense_antisense (6)	CACHED	16/9ec8ad	153	875052	0	1	2025-04-23 18:27:20.328	2025-04-23 18:27:24.528	2025-04-23 18:47:10.665	19m 50s	19m 42s	short	1	1h 40m	-	10 GB	98.4%	0.2%	847.4 MB	847.4 MB	956.3 MB	1001.6 MB	14.8 GB	9.1 GB	1051413	672406	2 MB	9.1 GB	140	12400
STAR_Module_Merge_Bam_and_create_sense_antisense (7)	CACHED	ca/8ef8a7	159	875060	0	1	2025-04-23 18:27:20.739	2025-04-23 18:27:24.591	2025-04-23 18:44:24.690	17m 4s	17m	short	1	1h 40m	-	10 GB	97.5%	0.2%	847.7 MB	847.7 MB	940.8 MB	1001.6 MB	14.6 GB	9 GB	1038916	662941	2 MB	9 GB	11520	11754
STAR_Module_merge_transcriptome_bam (4)	CACHED	7c/da5a04	147	875059	0	1	2025-04-23 18:27:20.700	2025-04-23 18:27:24.589	2025-04-23 18:59:15.035	31m 54s	31m 50s	short	1	4h	-	32 GB	97.4%	0.2%	910.1 MB	910.1 MB	1007.1 MB	1012.3 MB	21.4 GB	16 GB	1514901	1147750	2 MB	16 GB	33696	18953
Bam_Quantify_Module_STAR_salmon_bam_quant (4)	CACHED	fd/66fbfe	158	877387	0	2	2025-04-24 09:37:22.382	2025-04-24 09:37:27.290	2025-04-24 09:40:57.299	3m 35s	3m 29s	short	4	1h 40m	-	20 GB	320.9%	0.6%	2.3 GB	2.3 GB	3 GB	3 GB	13.8 GB	19.3 GB	766985	54067912	5.3 MB	9.9 GB	1400	11865
STAR_Module_merge_transcriptome_bam (5)	CACHED	3d/d3c605	157	875064	0	1	2025-04-23 18:27:20.931	2025-04-23 18:27:24.602	2025-04-23 18:59:50.056	32m 29s	32m 24s	short	1	4h	-	32 GB	97.5%	0.2%	910.8 MB	910.8 MB	1007.8 MB	1012.3 MB	21.8 GB	16.3 GB	1549266	1175705	2 MB	16.3 GB	31532	19087
STAR_Module_Merge_Bam_and_create_sense_antisense (11)	CACHED	01/c6b648	163	875067	0	1	2025-04-23 18:27:21.092	2025-04-23 18:27:29.577	2025-04-23 18:46:10.081	18m 49s	18m 42s	short	1	1h 40m	-	10 GB	98.4%	0.2%	847.6 MB	847.6 MB	956.3 MB	1001.5 MB	14.7 GB	9 GB	1045464	667118	2 MB	9 GB	122	12284
Bam_Quantify_Module_STAR_salmon_bam_quant (1)	CACHED	eb/f1d15d	176	875315	0	1	2025-04-23 18:59:15.732	2025-04-23 18:59:20.046	2025-04-23 19:02:55.283	3m 40s	3m 33s	short	4	1h 40m	-	20 GB	307.2%	0.6%	2.4 GB	2.4 GB	3 GB	3 GB	13.8 GB	19.3 GB	765972	53862465	5.3 MB	9.9 GB	2078	14011
Bam_Quantify_Module_STAR_salmon_bam_quant (3)	CACHED	43/156f85	167	877385	0	2	2025-04-24 09:37:17.794	2025-04-24 09:37:22.391	2025-04-24 09:40:12.277	2m 54s	2m 49s	short	4	1h 40m	-	20 GB	320.7%	0.6%	2.4 GB	2.4 GB	3 GB	3 GB	13.8 GB	19.3 GB	767995	54018965	5.3 MB	9.9 GB	1541	10257
STAR_Module_Merge_Bam_and_create_sense_antisense (8)	CACHED	97/6f8b0a	172	875055	0	1	2025-04-23 18:27:20.473	2025-04-23 18:27:24.541	2025-04-23 18:46:55.033	19m 35s	19m 26s	short	1	1h 40m	-	10 GB	98.3%	0.2%	847.5 MB	847.5 MB	956.3 MB	1001.5 MB	14.7 GB	9.1 GB	1045741	669253	2 MB	9.1 GB	927	12589
STAR_Module_Merge_Bam_and_create_sense_antisense (9)	CACHED	1b/983977	171	875061	0	1	2025-04-23 18:27:20.796	2025-04-23 18:27:24.593	2025-04-23 18:44:19.685	16m 59s	16m 53s	short	1	1h 40m	-	10 GB	97.7%	0.2%	847.4 MB	847.4 MB	940.8 MB	1001.5 MB	14.6 GB	9 GB	1038798	664554	2 MB	9 GB	11749	11568
Bam_Quantify_Module_STAR_salmon_bam_quant (4)	CACHED	21/d67580	181	875320	0	1	2025-04-23 18:59:50.902	2025-04-23 18:59:55.068	2025-04-23 19:04:10.804	4m 20s	4m 16s	short	4	1h 40m	-	20 GB	282.1%	0.6%	2.3 GB	2.3 GB	3 GB	3 GB	13.9 GB	19.6 GB	771264	54867421	5.3 MB	10 GB	1977	13606
STAR_Module_merge_transcriptome_bam (1)	CACHED	af/207eb1	168	875047	0	1	2025-04-23 18:27:20.110	2025-04-23 18:27:29.536	2025-04-23 19:00:50.177	33m 30s	33m 20s	short	1	4h	-	32 GB	98.8%	0.2%	911.5 MB	911.5 MB	1007.1 MB	1012.3 MB	21.7 GB	16.2 GB	1538543	1170947	2 MB	16.2 GB	231	19885
Bam_Quantify_Module_STAR_salmon_bam_quant (6)	CACHED	46/7be76d	196	875329	0	1	2025-04-23 19:00:50.924	2025-04-23 19:00:55.185	2025-04-23 19:04:48.755	3m 58s	3m 40s	short	4	1h 40m	-	20 GB	312.1%	0.6%	2.4 GB	2.4 GB	3 GB	3 GB	13.9 GB	19.2 GB	769560	53768283	5.3 MB	9.9 GB	2604	8909
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (1)	CACHED	28/a78ce4	186	877370	0	1	2025-04-24 09:37:16.620	2025-04-24 09:37:22.284	2025-04-24 09:37:32.275	15.7s	11.7s	short	1	4h	-	32 GB	91.9%	0.0%	53.1 MB	53.1 MB	68.1 MB	68.1 MB	182.5 MB	1.5 MB	23498	199	1.9 MB	1.5 MB	142	2009
STAR_Module_merge_transcriptome_bam (6)	CACHED	af/94f6d6	175	875062	0	1	2025-04-23 18:27:20.837	2025-04-23 18:27:24.594	2025-04-23 18:59:25.043	32m 4s	32m	short	1	4h	-	32 GB	97.5%	0.2%	910.7 MB	910.7 MB	1007.8 MB	1012.3 MB	21.9 GB	16.3 GB	1548284	1175657	2 MB	16.3 GB	35102	18789
STAR_Module_Merge_Bam_and_create_sense_antisense (10)	CACHED	f0/c3a34f	183	875069	0	1	2025-04-23 18:27:21.189	2025-04-23 18:27:29.590	2025-04-23 18:46:04.901	18m 44s	18m 37s	short	1	1h 40m	-	10 GB	98.5%	0.2%	847.6 MB	847.6 MB	956.3 MB	1001.5 MB	14.7 GB	9.1 GB	1044611	667377	2 MB	9.1 GB	96	11950
STAR_Module_Merge_Bam_and_create_sense_antisense (2)	CACHED	46/c7290e	188	875045	0	1	2025-04-23 18:27:20.004	2025-04-23 18:27:24.519	2025-04-23 18:47:14.973	19m 55s	19m 48s	short	1	1h 40m	-	10 GB	98.0%	0.2%	847.5 MB	847.5 MB	956.3 MB	1001.5 MB	14.6 GB	9 GB	1040419	664909	2 MB	9 GB	228	12396
STAR_Module_merge_transcriptome_bam (7)	CACHED	27/8350ad	180	875065	0	1	2025-04-23 18:27:20.970	2025-04-23 18:27:24.604	2025-04-23 19:01:20.209	33m 59s	33m 56s	short	1	4h	-	32 GB	98.4%	0.2%	915 MB	915 MB	1007.8 MB	1012.3 MB	21.8 GB	16.3 GB	1548072	1174153	2 MB	16.3 GB	849	19589
Bam_Quantify_Module_STAR_salmon_bam_quant (2)	CACHED	6c/5645da	199	875317	0	1	2025-04-23 18:59:25.748	2025-04-23 18:59:30.058	2025-04-23 19:03:15.326	3m 50s	3m 44s	short	4	1h 40m	-	20 GB	315.5%	0.6%	2.3 GB	2.3 GB	3 GB	3 GB	13.9 GB	19.5 GB	772912	54645088	5.3 MB	10 GB	2044	9845
Bam_Quantify_Module_STAR_salmon_bam_quant (7)	CACHED	85/fe88a4	207	875333	0	1	2025-04-23 19:01:20.839	2025-04-23 19:01:25.342	2025-04-23 19:04:20.385	3m	2m 57s	short	4	1h 40m	-	20 GB	318.7%	0.6%	2.3 GB	2.3 GB	3 GB	3 GB	13.9 GB	19.6 GB	770409	54928672	5.3 MB	10.1 GB	2115	8430
STAR_Module_merge_transcriptome_bam (11)	CACHED	98/c31add	195	875075	0	1	2025-04-23 18:27:21.460	2025-04-23 18:27:24.625	2025-04-23 19:05:05.401	37m 44s	37m 38s	short	1	4h	-	32 GB	98.2%	0.2%	913 MB	913 MB	1007.8 MB	1012.3 MB	21.7 GB	16.2 GB	1540986	1168983	2 MB	16.2 GB	11835	22160
STAR_Module_merge_transcriptome_bam (9)	CACHED	a2/d61c8e	198	875073	0	1	2025-04-23 18:27:21.366	2025-04-23 18:27:24.621	2025-04-23 19:01:35.366	34m 14s	34m 8s	short	1	4h	-	32 GB	98.9%	0.2%	911.4 MB	911.4 MB	1007.1 MB	1012.3 MB	21.4 GB	15.9 GB	1509475	1144658	2 MB	15.9 GB	185	19531
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (4)	CACHED	df/28e199	208	877371	0	1	2025-04-24 09:37:16.673	2025-04-24 09:37:22.286	2025-04-24 09:37:37.286	20.6s	14.2s	short	1	4h	-	32 GB	92.5%	0.0%	44.8 MB	44.8 MB	59.8 MB	59.8 MB	182.5 MB	1.4 MB	23498	199	1.9 MB	1.4 MB	97	2041
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (2)	CACHED	ae/11c4ca	197	877367	0	1	2025-04-24 09:37:16.483	2025-04-24 09:37:22.280	2025-04-24 09:37:37.273	20.8s	12.3s	short	1	4h	-	32 GB	91.9%	0.0%	78 MB	78.4 MB	93.1 MB	93.5 MB	182.5 MB	1.4 MB	23498	199	1.9 MB	1.4 MB	133	2149
STAR_Module_merge_transcriptome_bam (8)	CACHED	d9/727c8e	206	875070	0	1	2025-04-23 18:27:21.230	2025-04-23 18:27:29.593	2025-04-23 19:00:35.332	33m 14s	33m 7s	short	1	4h	-	32 GB	98.7%	0.2%	914.4 MB	914.4 MB	1007.1 MB	1012.3 MB	21.5 GB	16 GB	1517323	1151315	2 MB	16 GB	176	18748
Bam_Quantify_Module_STAR_salmon_bam_quant (7)	CACHED	8c/c6e974	211	877389	0	2	2025-04-24 09:37:27.384	2025-04-24 09:37:32.308	2025-04-24 09:41:07.298	3m 40s	3m 34s	short	4	1h 40m	-	20 GB	320.2%	0.6%	2.3 GB	2.3 GB	3 GB	3 GB	13.9 GB	19.5 GB	768012	54586857	5.3 MB	10 GB	1223	12807
STAR_Module_merge_transcriptome_bam (10)	CACHED	dd/733e7e	210	875072	0	1	2025-04-23 18:27:21.327	2025-04-23 18:27:24.619	2025-04-23 19:02:25.356	35m 4s	35m	short	1	4h	-	32 GB	98.5%	0.2%	910.8 MB	910.8 MB	1007.8 MB	1012.3 MB	21.6 GB	16.1 GB	1527634	1157857	2 MB	16.1 GB	6054	20855
Bam_Quantify_Module_STAR_salmon_bam_quant (5)	CACHED	41/45b83c	215	875325	0	1	2025-04-23 19:00:36.820	2025-04-23 19:00:40.170	2025-04-23 19:04:20.348	3m 44s	3m 38s	short	4	1h 40m	-	20 GB	313.3%	0.6%	2.4 GB	2.4 GB	3 GB	3 GB	13.8 GB	19.2 GB	765892	53535118	5.3 MB	9.8 GB	2251	8570
Bam_Quantify_Module_STAR_salmon_bam_quant (8)	CACHED	9d/a760f8	212	877388	0	2	2025-04-24 09:37:27.327	2025-04-24 09:37:32.306	2025-04-24 09:41:02.309	3m 35s	3m 31s	short	4	1h 40m	-	20 GB	320.3%	0.6%	2.4 GB	2.4 GB	3 GB	3 GB	13.8 GB	19.1 GB	764769	53477977	5.3 MB	9.8 GB	1552	8285
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (5)	CACHED	bb/7a1610	214	877373	0	1	2025-04-24 09:37:16.758	2025-04-24 09:37:22.290	2025-04-24 09:37:32.283	15.5s	10.8s	short	1	4h	-	32 GB	92.0%	0.0%	78 MB	78.4 MB	93.1 MB	93.5 MB	182.5 MB	1.4 MB	23498	199	1.9 MB	1.4 MB	161	2006
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (3)	CACHED	f8/fd52f2	209	877368	0	1	2025-04-24 09:37:16.526	2025-04-24 09:37:22.282	2025-04-24 09:37:37.279	20.8s	12.3s	short	1	4h	-	32 GB	92.1%	0.0%	78.1 MB	78.5 MB	93.1 MB	93.5 MB	182.5 MB	1.4 MB	23498	198	1.9 MB	1.4 MB	162	2187
STAR_Module_merge_transcriptome_bam (2)	CACHED	05/4e5827	213	875056	0	1	2025-04-23 18:27:20.559	2025-04-23 18:27:24.542	2025-04-23 18:59:35.431	32m 15s	32m 9s	short	1	4h	-	32 GB	97.5%	0.2%	911.1 MB	911.1 MB	1007.8 MB	1012.3 MB	21.8 GB	16.3 GB	1545366	1172944	2 MB	16.3 GB	32038	18985
Bam_Quantify_Module_STAR_salmon_bam_quant (3)	CACHED	40/dce3a9	220	875318	0	1	2025-04-23 18:59:36.226	2025-04-23 18:59:40.049	2025-04-23 19:03:20.321	3m 44s	3m 38s	short	4	1h 40m	-	20 GB	314.3%	0.6%	2.3 GB	2.3 GB	3 GB	3 GB	13.9 GB	19.6 GB	770496	54695626	5.3 MB	10 GB	1436	14671
Bam_Quantify_Module_STAR_salmon_bam_quant (10)	CACHED	d5/1f9ae5	217	877386	0	2	2025-04-24 09:37:17.832	2025-04-24 09:37:22.393	2025-04-24 09:40:27.432	3m 10s	3m 4s	short	4	1h 40m	-	20 GB	314.6%	0.6%	2.3 GB	2.3 GB	3 GB	3 GB	13.9 GB	19.4 GB	768302	54243006	5.3 MB	9.9 GB	1531	8100
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (6)	CACHED	93/29f311	218	877375	0	1	2025-04-24 09:37:16.872	2025-04-24 09:37:22.292	2025-04-24 09:37:32.288	15.4s	11.1s	short	1	4h	-	32 GB	91.7%	0.0%	78.1 MB	78.5 MB	93.1 MB	93.5 MB	182.5 MB	1.5 MB	23498	199	1.9 MB	1.5 MB	124	2000
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (7)	CACHED	e3/b14aa7	221	877376	0	1	2025-04-24 09:37:16.921	2025-04-24 09:37:22.294	2025-04-24 09:37:32.296	15.4s	10.9s	short	1	4h	-	32 GB	92.0%	0.0%	78.1 MB	78.5 MB	93.1 MB	93.5 MB	182.5 MB	1.4 MB	23498	199	1.9 MB	1.4 MB	129	2003
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (3)	COMPLETED	97/352f5a	187	877936	0	1	2025-04-24 11:49:42.280	2025-04-24 11:49:48.766	2025-04-24 11:49:58.750	16.5s	11.8s	short	1	4h	-	32 GB	96.1%	0.0%	47.1 MB	47.1 MB	62.1 MB	62.1 MB	182.5 MB	1.5 MB	23498	199	1.9 MB	1.5 MB	52	2076
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (1)	COMPLETED	fc/16eed0	177	877937	0	1	2025-04-24 11:49:42.315	2025-04-24 11:49:48.768	2025-04-24 11:49:58.760	16.4s	11.8s	short	1	4h	-	32 GB	96.2%	0.0%	46.8 MB	46.8 MB	61.9 MB	61.9 MB	182.5 MB	1.5 MB	23498	200	1.9 MB	1.5 MB	58	2033
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (8)	COMPLETED	70/8207dd	216	877938	0	1	2025-04-24 11:49:42.349	2025-04-24 11:49:48.770	2025-04-24 11:49:58.766	16.4s	10.6s	short	1	4h	-	32 GB	97.1%	0.0%	47.4 MB	47.4 MB	62.4 MB	62.4 MB	182.5 MB	1.4 MB	23498	199	1.9 MB	1.4 MB	54	1986
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (10)	COMPLETED	2c/734cc8	219	877939	0	1	2025-04-24 11:49:42.396	2025-04-24 11:49:48.771	2025-04-24 11:49:58.773	16.4s	10.5s	short	1	4h	-	32 GB	96.8%	0.0%	47.6 MB	47.6 MB	62.8 MB	62.8 MB	182.5 MB	1.5 MB	23498	199	1.9 MB	1.5 MB	99	1978
Bam_Quantify_Module_STAR_Salmon_transcript_to_gene_count (12)	COMPLETED	a7/3d729b	222	877940	0	1	2025-04-24 11:49:42.443	2025-04-24 11:49:48.773	2025-04-24 11:49:58.781	16.3s	10.5s	short	1	4h	-	32 GB	97.0%	0.0%	47.8 MB	47.8 MB	63 MB	63 MB	182.5 MB	1.5 MB	23498	199	1.9 MB	1.5 MB	54	1982
Bam_Quantify_Module_STAR_Salmon_Summary	COMPLETED	4f/0f01ae	223	877941	0	1	2025-04-24 11:49:58.851	2025-04-24 11:50:03.749	2025-04-24 11:50:33.750	34.9s	29.3s	short	1	4h	-	32 GB	96.8%	0.1%	284.8 MB	284.8 MB	299.9 MB	299.9 MB	372.9 MB	52.1 MB	47916	6679	1.6 MB	46.7 MB	267	2094
RSEM_module_RSEM (12)	COMPLETED	9b/25e0db	120	877935	0	1	2025-04-24 11:49:42.233	2025-04-24 11:49:48.765	2025-04-24 12:50:03.884	1h 22s	1h 17s	long	4	1d 17h 40m	-	40 GB	257.6%	6.9%	26 GB	26.1 GB	26.2 GB	26.2 GB	162.6 GB	22.5 GB	17692336	151931252	5.8 MB	22.5 GB	294566	17035
RSEM_module_RSEM (11)	COMPLETED	68/6accba	112	877933	0	1	2025-04-24 11:49:42.162	2025-04-24 11:49:48.762	2025-04-24 13:00:03.915	1h 10m 22s	1h 10m 15s	long	4	1d 17h 40m	-	40 GB	273.1%	6.9%	26 GB	26.1 GB	26.2 GB	26.2 GB	162.2 GB	22.3 GB	17647213	151353071	5.8 MB	22.3 GB	298358	16357
RSEM_module_RSEM (10)	COMPLETED	16/3c5e96	108	877934	0	1	2025-04-24 11:49:42.197	2025-04-24 11:49:48.763	2025-04-24 13:05:13.923	1h 15m 32s	1h 15m 28s	long	4	1d 17h 40m	-	40 GB	259.8%	6.9%	26 GB	26.1 GB	26.2 GB	26.2 GB	161.8 GB	22.3 GB	17584587	151038796	5.8 MB	22.3 GB	296358	17066
RSEM_module_RSEM (2)	COMPLETED	2a/e099de	52	877924	0	1	2025-04-24 11:49:40.853	2025-04-24 11:49:43.746	2025-04-24 13:10:43.932	1h 21m 3s	1h 20m 58s	long	4	1d 17h 40m	-	40 GB	218.9%	5.2%	26 GB	26 GB	26.2 GB	26.2 GB	161.7 GB	22.3 GB	17608242	150957438	5.8 MB	22.3 GB	259217	13499
RSEM_module_RSEM (1)	COMPLETED	48/d09401	46	877925	0	1	2025-04-24 11:49:41.184	2025-04-24 11:49:43.779	2025-04-24 13:13:58.934	1h 24m 18s	1h 24m 12s	long	4	1d 17h 40m	-	40 GB	198.6%	5.2%	26 GB	26.1 GB	26.2 GB	26.2 GB	161.5 GB	22.3 GB	17589553	150675150	5.8 MB	22.3 GB	255713	13690
RSEM_module_RSEM (5)	COMPLETED	dd/0b7e1b	70	877928	0	1	2025-04-24 11:49:41.926	2025-04-24 11:49:48.753	2025-04-24 13:17:43.942	1h 28m 2s	1h 27m 56s	long	4	1d 17h 40m	-	40 GB	238.1%	6.9%	26 GB	26.1 GB	26.2 GB	26.2 GB	161.6 GB	22.3 GB	17553092	150685742	5.8 MB	22.3 GB	297465	18590
RSEM_module_RSEM (6)	COMPLETED	32/d7c83d	81	877929	0	1	2025-04-24 11:49:41.975	2025-04-24 11:49:48.754	2025-04-24 13:18:48.943	1h 29m 7s	1h 29m 2s	long	4	1d 17h 40m	-	40 GB	237.2%	6.9%	26 GB	26 GB	26.2 GB	26.2 GB	163.2 GB	22.5 GB	17764709	152383585	5.9 MB	22.5 GB	297169	17703
RSEM_module_RSEM (8)	COMPLETED	a3/528982	94	877931	0	1	2025-04-24 11:49:42.086	2025-04-24 11:49:48.758	2025-04-24 13:20:18.948	1h 30m 37s	1h 30m 32s	long	4	1d 17h 40m	-	40 GB	239.6%	6.9%	26 GB	26.1 GB	26.2 GB	26.2 GB	163.2 GB	22.5 GB	17771366	152379738	9.2 MB	22.5 GB	305144	25868
RSEM_module_RSEM (7)	COMPLETED	9d/0e5539	84	877930	0	1	2025-04-24 11:49:42.013	2025-04-24 11:49:48.756	2025-04-24 13:20:33.948	1h 30m 52s	1h 30m 45s	long	4	1d 17h 40m	-	40 GB	236.4%	6.9%	26 GB	26 GB	26.2 GB	26.2 GB	163.2 GB	22.5 GB	17778572	152682654	8.9 MB	22.5 GB	305057	26435
RSEM_module_RSEM (4)	COMPLETED	a0/ada297	69	877926	0	1	2025-04-24 11:49:41.499	2025-04-24 11:49:48.749	2025-04-24 13:22:03.949	1h 32m 22s	1h 32m 18s	long	4	1d 17h 40m	-	40 GB	231.3%	6.9%	26 GB	26 GB	26.2 GB	26.2 GB	162.9 GB	22.5 GB	17734851	152267087	6.2 MB	22.5 GB	298086	17328
RSEM_module_RSEM (9)	COMPLETED	4b/e6c0b3	99	877932	0	1	2025-04-24 11:49:42.125	2025-04-24 11:49:48.760	2025-04-24 13:22:33.950	1h 32m 52s	1h 32m 48s	long	4	1d 17h 40m	-	40 GB	238.2%	6.9%	26 GB	26.1 GB	26.2 GB	26.2 GB	160.8 GB	22.2 GB	17463678	149967012	5.8 MB	22.2 GB	305748	19652
RSEM_module_RSEM (3)	COMPLETED	06/0d29c3	58	877927	0	1	2025-04-24 11:49:41.858	2025-04-24 11:49:48.751	2025-04-24 13:22:43.951	1h 33m 2s	1h 32m 59s	long	4	1d 17h 40m	-	40 GB	233.2%	6.9%	26 GB	26 GB	26.2 GB	26.2 GB	161.9 GB	22.3 GB	17605683	151240408	6.9 MB	22.3 GB	297850	16913
RSEM_module_RSEM_Alignment_Summary	COMPLETED	eb/c87dec	227	878008	0	1	2025-04-24 13:22:44.139	2025-04-24 13:22:48.966	2025-04-24 13:22:48.967	4.8s	222ms	short	1	4h	-	32 GB	60.1%	0.0%	4.8 MB	4.8 MB	17.9 MB	17.9 MB	813.1 KB	1 KB	993	61	2.3 MB	52 KB	32	1359
Overall_Summary	COMPLETED	90/8e93c4	229	878010	0	1	2025-04-24 13:22:49.045	2025-04-24 13:22:53.952	2025-04-24 13:22:53.954	4.9s	137ms	short	1	4h	-	32 GB	60.6%	0.0%	5 MB	5 MB	17.9 MB	17.9 MB	573.2 KB	1.5 KB	232	15	2.3 MB	4 KB	38	1365
MultiQC	COMPLETED	74/8da7d7	228	878009	0	1	2025-04-24 13:22:44.255	2025-04-24 13:22:48.991	2025-04-24 13:22:58.952	14.7s	7.3s	short	1	1h 40m	-	12 GB	75.9%	0.0%	89.5 MB	96.3 MB	205.8 MB	254.3 MB	688 MB	25.1 MB	88058	872	26.4 MB	22.8 MB	2125	23506
RSEM_module_RSEM_Count	COMPLETED	24/81a290	226	878007	0	1	2025-04-24 13:22:44.073	2025-04-24 13:22:48.950	2025-04-24 13:23:03.952	19.9s	17.1s	short	1	4h	-	32 GB	95.8%	0.1%	233.8 MB	233.8 MB	247.1 MB	247.1 MB	315.6 MB	38.1 MB	40581	4888	1.3 MB	38.1 MB	301	1438
DE_module_RSEM_Prepare_DESeq2	COMPLETED	f7/364cbe	231	878011	0	1	2025-04-24 13:23:04.374	2025-04-24 13:23:08.951	2025-04-24 13:25:58.954	2m 55s	2m 49s	short	5	1h 40m	-	30 GB	378.0%	1.5%	6.1 GB	6.1 GB	11.2 GB	11.2 GB	562.1 MB	107.2 MB	90283	22440	109.9 MB	108.3 MB	7290	5521181
DE_module_RSEM_DESeq2_Analysis	COMPLETED	21/f03b56	233	878015	0	1	2025-04-24 13:25:59.065	2025-04-24 13:26:03.953	2025-04-24 13:26:03.955	4.9s	120ms	short	1	1h 40m	-	4 GB	7.6%	0.0%	4.4 MB	4.4 MB	38.1 MB	38.1 MB	63.8 KB	235 B	134	12	339 KB	0	23	152
